song_name,song_release,song_artist
Vince The Loveable Stoner,Costello Music,The Fratellis
In The Shadows,The UA Singles 1977-1982,The Stranglers
Walken I,A Little Bit Special,Stephen Lynch
Here's To Life,Underground Screams,Bandits of the Acoustic Revolution
Best Friends Song,Superhero,Stephen Lynch
Mixer At Delta Chi,The Craig Machine,Stephen Lynch
Creepin Up The Backstairs,The Fratellis EP,The Fratellis
Gotta Have You,Indoor Picnic Music,The Weepies
Autumn (Album),No Promises,Carla Bruni
Henrietta,Henrietta,The Fratellis
Fader,Fader,The Temper Trap
Move Along,Move Along,The All-American Rejects
The Ballad of Michael Valentine,Sawdust,The Killers
Lucky (Album Version),We Sing.  We Dance.  We Steal Things.,Jason Mraz & Colbie Caillat
Gan Haedden (Edden),Lazooz (Move),Hadag Nachash
I'm Your Captain/Closer To Home (Medley) (2002 Digital Remaster),Greatest Hits: Grand Funk Railroad,Grand Funk Railroad
Exploration,ESL Remixed,Karminsky Experience
Somebody To Love,My Worlds,Justin Bieber
Wind Farm,Better Late Than Never,Lange
How Long,Stanley Climbfall,Lifehouse
Marrakech,No Silence,ATB
Already Gone,All I Ever Wanted,Kelly Clarkson
Sehr kosmisch,Musik von Harmonia,Harmonia
Señorita,Justified,Justin Timberlake
Good Life,Graduation,Kanye West / T-Pain
Battleship Grey,Meta Message,Tiësto
The Beat Goes On,...Baby One More Time (Digital Deluxe Version),Britney Spears
Everyone's At It,It's Not Me_ It's You,Lily Allen
Karma Police,OK Computer (Collector's Edition),Radiohead
Catch You Baby (Steve Pitron & Max Sanna Radio Edit),Catch You Baby,Lonnie Gordon
Love Is A Losing Game,Back To Black,Amy Winehouse
Sous le soleil,Urban Chill Out,Urban Chill Out
Video Girl,A Little Bit Longer,Jonas Brothers
The Scientist,The Scientist,Coldplay
See You Again,See You Again,Miley Cyrus
Check On It,Check On It,Beyoncé feat. Slim Thug
Good Girl Gone Bad,Good Girl Gone Bad: Reloaded,Rihanna
Tired Of Being Sorry,Insomniac,Enrique Iglesias
Champion,Graduation,Kanye West
In The Dark (ft. Christian Burns),Magikal Journey (The Hits Collection 1998-2008),Tiësto
More Than Everything,Trancemaster 5008,Gareth Emery
Clear Blue Water,Dave Pearce Trance Anthems 2009,OceanLab
I Kissed A Girl,One Of The Boys (iTunes Exclusive),Katy Perry
Recordándote,Grandes Éxitos Del Dúo Dinámico,Dúo Dinámico
Secrets,Waking Up,OneRepublic
Anything But You,Anything But You,Way Out West
Everytime,B In The Mix - The Remixes,Britney Spears
Only Superstition,Brothers & Sisters,Coldplay
Pursuit Of Happiness (nightmare),Pursuit Of Happiness,Kid Cudi / MGMT / Ratatat
Unlove You (Album Version),Headstrong,Ashley Tisdale
Shiver,Parachutes,Coldplay
Read My Mind,Sam's Town,The Killers
Apple,Slinky Presents Global Trance New Zealand,Sander Van Doorn
Marry Me,Save Me_ San Francisco,Train
Speed Of Sound,Speed Of Sound,Coldplay
I CAN'T GET STARTED,It's The Time,Ron Carter
Drop The World,Drop The World,Lil Wayne / Eminem
EMOTIONS,The Remixes,Mariah Carey
The New Stone Age,ARCHITECTURE AND MORALITY,OMD
Party In The U.S.A.,Party In The U.S.A.,Miley Cyrus
Use Somebody,Use Somebody,Kings Of Leon
McFearless,Because Of The Times,Kings Of Leon
Trani,Youth And Young Manhood,Kings Of Leon
Some Kind Of Miracle,Thankful,Kelly Clarkson
Can You Hear Me,Insomniac,Enrique Iglesias
Hero,Greatest Hits,Enrique Iglesias
Blinded By The Light,The Complete History of Euro Dance Vol.1,Michael Mind feat. Manfred Mann's Earth Band
Swing_ Swing,The All-American Rejects,The All-American Rejects
Lasso,Wolfgang Amadeus Phoenix,Phoenix
Dog Days Are Over (Radio Edit),Now That's What I Call Music! 75,Florence + The Machine
Sehr kosmisch,Musik von Harmonia,Harmonia
Finale,Anthrology: No Hit Wonders (1985-1991),Anthrax
Fireflies,Karaoke Monthly Vol. 2 (January 2010),Charttraxx Karaoke
Secrets,Waking Up,OneRepublic
Arrasando,Thalia Con Banda Grandes Exitos,Thalia
Just A Feeling,Bad Manners,Bad Manners
I Need To Know,2000 Grammy Nominees--Pop,Marc Anthony
Walkabout (Album Version),One Hot Minute,Red Hot Chili Peppers
Amor A La Mexicana (Original Version),Amor A La Mexicana,Thalia
Dear Friend (The Secret Of Time Album Version),The Secret of Time,Charlie Peacock
Just You and Me,25 or 6 to 4,Chicago
Just The Way You Are,Heartbreakers (N),Barry White
Miss Your Touch (Album Version),Cassie,Cassie
Green,Abnormal,Bumblefoot
Make Music,The Waiting Room,Emanon
Stay,Essential Eternal,Eternal
Alley Oop (Girls Version) (2007 Digital Remaster),The Doughnut In Granny's Greenhouse,The Bonzo Dog Band
Cups,The Chilled House Session,Underworld
Still Take You Home,Wheatever People Say I Am_ That's What I'M Not - Digital,Arctic Monkeys
Milkshake,Original Hits - Rap & Soul,Kelis
LDN,LDN,Lily Allen
The Way She Moves,The Perfect Melody,Zion / Akon
Jason Phones It In,Bourne Identity,John Powell
Bebegim Öldü,Romantizma,Sagopa Kajmer
Forever Loving Jah,Songs Of Freedom,Bob Marley & The Wailers
Hora Din Caval,Honourable Brigands_ Magic Horses & Evil Eye,Taraf de Haidouks
To The Roof,The Bourne Supremacy,John Powell
Some Bwoy,Fully Loaded,Spragga Benz
Lothlorien (2002 Digital Remaster),The Lord Of The Rings,Bo Hansson
Tive Sim,Nova Bis-Cartola,Cartola
Sticks And Stones,Anthology,Alien Ant Farm
Vasiyet,Romantizma,Sagopa Kajmer
Justin's Death,The Constant Gardener,Alberto Iglesias
Universe,Anthology,Alien Ant Farm
Hurt,25 Greatest Hits,Little Anthony & The Imperials
Jomo Gets An HIV Test,The Constant Gardener,Alberto Iglesias
Dropped Off At Turkana,The Constant Gardener,Alberto Iglesias
Fairy Tale,Second Passport,Klaus Doldinger's Passport
Restless,Lonely Runs Both Ways,Alison Krauss / Union Station
Dumbala dumba,Dumbala Dumba,Taraf de Haidouks
Why Can't It be,Why Can'T It Be,Keith Martin
Halla Halla,Puisqu'il Faut Vivre,Soprano
Killa,The Truth,Cherish featuring Yung Joc
Cantaloop (Flip Fantasia),Flip Fantasia: Hits & Remixes,US3 Featuring Rahsaan And Gerard Presencer
Yesterday's Train,(Untitled) /(Unissued),The Byrds
With Arms Outstretched (Album Version),Saddle Creek 50,Rilo Kiley
Lie To Me,Lie To Me,Jonny Lang
Rauhan aika,Rauhan aika,Pelle Miljoona
Strength,Live At CBGB's,Agnostic Front
Long Way Around,Living In The Present Future,Eagle-Eye Cherry / Neneh Cherry
It's Everything But Party Time,Return To The Valley Of The Go-Go's,The Go-Go's
Bright Star,Decade - Box Set,Kerry Livgren
Express Yourself,Music For The Times We Live In,Charles Wright
Grow Up and Blow Away,Grow Up and Blow Away,Metric
Just The Way You Are,Heartbreakers (N),Barry White
The Earth Is (Album Version),The Earth Is...,Air Supply
Back from hell,The Great Fall,NARNIA
Hello Sunshine,Aretha Now,Aretha Franklin
Ten Years Gone  (Album Version),Physical Graffiti,Led Zeppelin
Happy-Go-Lucky Local,Jazz #1's,Ed Thigpen / Oscar Peterson / Ray Brown
Falling,From Dayton With Love,Morella's Forest
Illuminati,Ya Mama & Song For Shelter,Fatboy Slim
Far Out,Night Walker,Herbie Hancock
Sneakernight,Identified,Vanessa Hudgens
New York Dreams,Death's Crown,Happy The Man
Everyone's At It,It's Not Me_ It's You,Lily Allen
Skit Mama,Autentyk 2,Vienio & Pele
Interfere,Trance Nation Mixed by Above & Beyond,Airbase
Annihilation By The Hands Of God (Album Version),The All Star Sessions,Roadrunner United
Walking Through The Country,Leavin' It All Behind,The Grass Roots
Sparkles,In Search Of Sunrise 1,Tiësto
The Absence Of God (Album Version),More Adventurous,Rilo Kiley
I Don't Want Your Millions Mister,Honey In The Lion's Head,Greg Brown
Reality Of Emptiness,The Death Campaign Project,Officer Negative
Holes To Heaven,On and On,Jack Johnson
Black Mission Goggles,Six Demon Bag,Man Man
Someday,Clubland Classix,Rezonance Q
Get Stupid Fresh Part 1 (2005 Digital Remaster),Mantronix,Mantronix
Roll Over Beethoven,All The '50s Hits Vol. 1,Chuck Berry
Scapegoat,Under The Flag,Fad Gadget
Overture (Fascinating Rhythm),Gershwin's World,Herbie Hancock
My 1st Single,Encore,Eminem
Alabama Sunshine,House Of Jealous Lovers,The Rapture
Hooligan's Holiday,Supersonic & Demonic Relics,Mötley Crüe
Rock This Town,Back To The Alley,Stray Cats
Babooshka,Never For Ever,Kate Bush
Honey Please_ Can't Ya See,White Gold,Barry White
Chump Change,Electric Version,The New Pornographers
Sanctify Yourself,Glittering Prize 81/92,Simple Minds
Invocation (Part 2 - A Summer Rite),The Culling Is Coming,23 Skidoo
Un Aro En La Nariz,//:Tres.Jeans,Jeans (Mexico)
Bad Detective,A Hard Night's Day,New York Dolls
Shelter,Winter,Michael Gettel
Horribles gens,Lever l'ancre,Alfa Rococo
Songs Of The Season,Hell Train,Soltero
L'été : Adagio,Les 4 saisons,Antonio Vivaldi
Du Le Le,Free Love,Denise Ho
Shoulder to shoulder 2009,Naschi 14 Slov,What We Feel
Smothered (Album Version),Self-Destructive Pattern,Spineshank
White Wee Wee,Bush Meat,Infinite Livez
I'm Sleeping In A Submarine,EP,Arcade Fire
L'hiver : Allegro,Les 4 saisons,Antonio Vivaldi
Van Helsing Boombox,Six Demon Bag,Man Man
Where The Moss Slowly Grows (Cd),Music From Regions Beyond,Tiger Army
Power Of A Woman,Essential Eternal,Eternal
Kaos,Tanisma Bitti,Hayko Cepkin
Sucker Train Blues,Contraband,Velvet Revolver
Elizabeth My Dear,The Stone Roses,The Stone Roses
Solo Tu (Eres Mi Pasion),Que No Se Extinga La Llama!,Seguridad Social
Tierra Negra,Heroes de los 80. Un hombre solo,Decima Victima
All Apologies,Then And Now: The Definitive Herbie Hancock,Herbie Hancock
Take the Skinheads Bowling,The Best of Cooking Vinyl 2008,Camper Van Beethoven
Pacífico,De mi sangre a tus cuchillas,El Columpio Asesino
Big House,Songs That Changed The Church - CCM,Audio Adrenaline
Ripper,Punk's Not Dead,Exploited
Drunk Kid Catholic,Noise Floor [Rarities 98 - 05],Bright Eyes
Navegante,De Vuelos y de Sol,Fernando Delgadillo
Work It Out,Feedback,Jurassic 5 / Dave Matthews Band
Speed,Around The World,Yahel
Eve of seduction,Paradise Lost,Symphony X
Float Away,Float Away,Robbie Rivera
Domination,Paradise Lost,Symphony X
Living In A Box (7'' Version),Playlist: 80s Pop,Living In A Box
I Don't Wanna Walk Around With You  (Remastered Album Version ),Ramones: Expanded And Remastered,Ramones
The Turning,The Odyssey,Symphony X
One Day,Elevate,Morgan Page
Smoke and mirrors,Twilight in olympus,Symphony X
Me & My B*tch (Album Version),Ready To Die The Remaster,The Notorious B.I.G.
Journey Of Life,A Decade Of Trance - 2003_ Pt. 3,Push
Wind Farm,Better Late Than Never,Lange
The witching hour,The divine wings of tragedy,Symphony X
Candlelight fantasia,The divine wings of tragedy,Symphony X
No Sense,Alive in Seattle,Candlebox
The Relic,Twilight in olympus,Symphony X
Don´t do it,Don´t do it,World Clique
Why,On Kosmo,Sonique
On The Breath Of Poseidon,Live On The Edge Of Forever,Symphony X
Billion Bucks,Club Bangers,Stat Quo
You Can't Call Yourself A Secret,The Year Of The How-To Book,Eagle Seagull
Sea of lies,The divine wings of tragedy,Symphony X
Real World  (LP Version),Yourself Or Someone Like You,matchbox twenty
King Of Terrors,The Odyssey,Symphony X
I?'m A Steady Rollin? Man,Diggin' Deeper Volume 7,Robert Johnson
The serpent's kiss,Paradise Lost,Symphony X
Zenana,INDIA  Music For Inner Balance,Margot Reisinger
Prelude,Live On The Edge Of Forever,Symphony X
Communion And The Oracle,Live On The Edge Of Forever,Symphony X
Limbo (Remastered LP Version),Test For Echo,Rush
Crazy Love,Crazy Loving: The Best Of Poco 1975-1982,Poco
More Than Everything,Trancemaster 5008,Gareth Emery
Shades Of Grey,Symphony X,Symphony X
Someone like you,Butterflies,Sexy Sadie
My First Kiss (Feat. Ke$ha) [Album Version],My First Kiss,3OH!3
Stand Me Up,Music Music Music/Slip That Disc!,Dislocation Dance
Love Killer,Dressed to kiss,The Killer Barbies
Touched By The Sun,30 Best Trance Anthems Best Ever,Envio
Egypt,Live On The Edge Of Forever,Symphony X
Whispers,The Damnation Game,Symphony X
The Edge Of Forever,The Damnation Game,Symphony X
Premonition,Symphony X,Symphony X
The walls of Babylon,Paradise Lost,Symphony X
Of sins and shadows,The divine wings of tragedy,Symphony X
The divine wings of tragedy,The divine wings of tragedy,Symphony X
Solarcoaster,In Search Of Sunrise 3 - Panama,Solar Stone
Revelation (Divus Pennae ex Tragoedia),Paradise Lost,Symphony X
Masquerade,Symphony X,Symphony X
Oculus ex Inferni,Paradise Lost,Symphony X
In The Dragon's Den,Twilight In Olympus,Symphony X
Wicked,The Odyssey,Symphony X
De nuevo el paraiso (Album),Complices,Luis Miguel
The Damnation Game,The Damnation Game,Symphony X
A Mile In My Shoes ft. Sir Adrian,Earth Mover,Cosmic Gate
The Re-Up,Eminem Presents The Re-Up,Eminem / 50 Cent
T.I.A.,T.I.A.,K'Naan
The Odyssey,The Odyssey,Symphony X
Awakenings,The Odyssey,Symphony X
Inferno (unleash The Fire),The Odyssey,Symphony X
Rapture Or Pain,Symphony X,Symphony X
Bewildered,Missing... Presumed Having A Good Time,The Notting Hillbillies
A Lesson Before Dying,Symphony X,Symphony X
The accolade,The divine wings of tragedy,Symphony X
Accolade II,Music In Progress Vol.2 - Progressive Metal & More,Symphony X
Evolution (the Grand Design),Live On The Edge Of Forever,Symphony X
Our People,The Gold Collection,Tom Robinson
Set the world on fire (The lieof lies),Paradise Lost,Symphony X
This Cowboy Song,Fields Of Gold - The Best Of Sting 1984 - 1994,Sting
Walk Of Life,Brothers In Arms,Dire Straits
Somewhere in the Middle,Live&Greetings From the Flow State,Dishwalla
Ember Drive,Redemption,Walls Of Jericho
Cancun,WicketWorldWide.COM,Natas
How Deep Is Your Love,The World's Most Popular Pianist Plays Bee Gees_ Elton John and Other Favorites,Richard Clayderman
a.k.a. I.D.I.O.T.,Barely Legal,The Hives
I'm Your Baby Tonight,Whitney The Greatest Hits,Whitney Houston
Hello,The World's Most Popular Pianist Plays Romantic Favorites,Richard Clayderman
Sie,Tabula Rasa,Einstuerzende Neubauten
Heartbreak Hotel,Whitney The Greatest Hits,Whitney Houston feat. Faith Evans and Kelly Price
Fruit of love,Café Ibiza Chillout Lounge Vol.04,Fixx
King & Queen,Reflections - A Retrospective,Mary J. Blige / John Legend
Light and space,Hypothetical,Threshold
Run Me Down,The Big Come Up,The Black Keys
Money Folder,Madvillainy,Madvillain
Dirty Dishes,War Elephant,Deer Tick
Poor Jackie,Rabbit Habits,Man Man
Been A Son,Nirvana,Nirvana
Step Through The Door,Hell Train,Soltero
Knocking On Forbidden Doors,McMxc A.D.,Enigma
One Smart Nigger,Take Me To Your Leader,King Geedorah
Do The Rump,The Big Come Up,The Black Keys
Daisy And Prudence,Distillation,Erin McKeown
Anonymous,Call the Doctor,Sleater-kinney
The Rain,Atlantis - Hymns for Disco,K-OS
Be Less Rude,Sings The Greys,Frightened Rabbit
Bistro,Madvillainy,Madvillain
Man Who Make You Sick,The Man in a Blue Turban with Face,Man Man
Trap Door (feat. MF DOOM),White Van Music,Jake One
They Might Follow You,Tiny Vipers,Tiny Vipers
Supervillain Theme,Madvillainy,Madvillain
Last Day Of Our Love,One Too Many Hearts,the bird and the bee
born to Run,Atlantis - Hymns for Disco.,K-OS
Mince Meat,The Mouse & The Mask,Dangerdoom
mirror in the Sky,Atlantis - Hymns for Disco,K-OS
Percussion Gun,Friday Night Lights Vol. 2 (Original Television Soundtrack),White Rabbits
Cash Still Rules/Scary Hours (still don't nothing move but the money),Wu-Tang Forever (Explicit),Wu-Tang Clan
Tomorrow Goes Away,Ode To Sunshine,Delta Spirit
Lionesse,It's Frightening,White Rabbits
Gabbie,Stella stai/Gloria,Umberto Tozzi
Come As You Are,Nirvana,Nirvana
I Remember,Good Morning_ Mr. Good,Ring_ Cicada
black Ice - Hymn for Disco,Atlantis - Hymns for Disco,K-OS
People_ Turn Around,Ode To Sunshine,Delta Spirit
She Said_ She Said,The Big Come Up,The Black Keys
Long Time,War Elephant,Deer Tick
Pause 4 Porno,2001 Instrumental,Dr. Dre
People C'mon,Ode To Sunshine,Delta Spirit
Rhinestone Cowboy,Madvillainy,Madvillain
Here It Comes,Everywhere and His Nasty Parlour Tricks,Modest Mouse
The Sun On His Back,Biggest Bluest Hi-Fi,Camera Obscura
Gimme Sympathy,Gimme Sympathy,Metric
You Mustn't Kick It Around,Distillation,Erin McKeown
Jigsaw Falling Into Place,In Rainbows,Radiohead
Ackrite,2001,Dr. Dre / Hittman
At The Back Of The Shell,No Wow,The Kills
Where I  Wanna Be,Informal Introduction,Shade Sheist / Nate Dogg / Kurupt
Illuminati,Ya Mama & Song For Shelter,Fatboy Slim
The Salesman (Tramp Life),It's Frightening,White Rabbits
These Old Shoes,War Elephant,Deer Tick
I Came As A Rat (Long Walk Off A Short Dock),Everywhere and His Nasty Parlour Tricks,Modest Mouse
Bring Da Ruckus,Live at Montreux 2007,Wu-Tang Clan
Imparare Dal Vento,The Virgin Collection: Due Destini,Tiromancino
Rudie Fails,It's Frightening,White Rabbits
Things Are Getting Better,In Search Of...,N.E.R.D.
El Chupe Nibre (Album Version),The Mouse And The Mask,Danger Doom
Shining Down [feat. Matthew Santos] (Amended Album Version),Shining Down,Lupe Fiasco
Accordian,Madvillainy,Madvillain
Old Man & Me (LP Version),Rhino Hi-Five: Hootie & The Blowfish,Hootie And The Blowfish
West One (Shine On Me),The Crack/Grin And Bear It,The Ruts
Loose Translation,Electric Version,The New Pornographers
FlyPaper,Atlantis - Hymns for Disco,K-OS
In The Mausoleum,The Flying Club Cup,Beirut
Some L.A. Niggaz,2001,Dr. Dre / Hittman / Ms. Roq / Knoc-Turn'al / Time Bomb / Koka Kambon / Defari / MC Ren / Alvin Joiner
CatDieseL,Atlantis - Hymns for Disco.,K-OS
Adventures In Solitude,Challengers,The New Pornographers
Busted,The Big Come Up,The Black Keys
Perfect Hair,The Mouse & The Mask,Dangerdoom
The Malevolence,God Knows,Mando Diao
the ballad of Noah,Atlantis - Hymns for Disco,K-OS
Timing Is Everything,The Ghosts Among Us,Our Last Night
Poster Of A Girl,Live It Out,Metric
Fort Nightly,Fort Nightly,White Rabbits
Diamond Rings 2007,War Elephant,Deer Tick
C'mere,C'Mere,Interpol
Bleeding Bells,Ode To Sunshine,Delta Spirit
Meat Grinder,Madvillainy,Madvillain
Somebody Told Me,Hot Fuss,The Killers
Xxplosive,2001 Instrumental,Dr. Dre
Fuck You,2001,Dr. Dre / Devin a/k/a The Dude / Snoop Dogg
Art Isn't Real (City Of Sin),War Elephant,Deer Tick
Bang Bang,2001,Dr. Dre / Hittman / Knoc-Turn'al
They Done Wrong / We Done Wrong,It's Frightening,White Rabbits
I'll Be Your Man,The Big Come Up,The Black Keys
Heart Shaped Box,In Utero,Nirvana
Baltimore Blues No. 1,War Elephant,Deer Tick
No Names (Black Debbie),The Mouse & The Mask,Dangerdoom
The Mask (Featuring Ghostface Killah) (Album Version),The Mouse And The Mask,Danger Doom
The World Will Love Again,Be Forewarned,Pentagram
Without A Face,Evil Empire,Rage Against The Machine
Company I Keep,It's Frightening,White Rabbits
AquaCityBoy,Atlantis - Hymns for Disco.,K-OS
Ghost At The Foot Of The Bed,Hell Train,Soltero
Atrévete te te,Calle 13 (Explicit Version),Calle 13
Lithium,Nevermind,Nirvana
Raid,Madvillainy,Madvillain_ MED aka Medaphor
Leavin' Trunk,The Big Come Up,The Black Keys
Fountains And Tramways,Pompeii,Beirut
Sooner or Later,Sooner or Later,N.E.R.D.
Da Baddest [Feat. Trey Songz] (Explicit Album Version),Da Baddest [Feat. Trey Songz],Big Kuntry King
We Are The Sleepyheads,The Life Pursuit,Belle & Sebastian
Children,Ode To Sunshine,Delta Spirit
Jumpers (Album),The L Word: Season 3,Sleater-kinney
Crosshairs,The Mouse & The Mask,Dangerdoom
Stay Away,Stay Away,Nirvana
Space Hos,The Mouse & The Mask,Dangerdoom
Trashcan,Trashcan,Delta Spirit
Strange Ways,Madvillainy,Madvillain
